Term (N-Gramm);S;tf;df;idf;tf-idf*;tf/S;df/S;(tf*df)/S^2
boundary;3479;506;81;1,63296940986894;826,282521393683;0,1454440931302098304110376545;0,0232825524576027594136246048;0,0033863097279525715042523857
bracket;3479;778;73;1,67813156862713;1305,58636039191;0,2236274791606783558493820063;0,0209830411037654498419085944;0,0046923845871599655007200019
brake;3479;355;23;2,17972659273;773,802940419149;0,1020408163265306122448979592;0,0066110951422822650186835297;0,0006746015451308433692534214
brightness;3479;1032;136;1,40791552037737;1452,96881702945;0,2966369646450129347513653349;0,0390916930152342627191721759;0,0115960411588737450779493204
buffer;3479;633;77;1,65496370357511;1047,59202436304;0,1819488358723771198620293188;0,0221327967806841046277665996;0,0040270366088453688500650352
button;3479;695;116;1,47699643952067;1026,51252546687;0,199770048864616269042828399;0,03334291463064098878988215;0,0066609156850518790482805675
cable;3479;575;101;1,53713305496495;883,851506604844;0,1652773785570566254670882437;0,0290313308421960333429146306;0,0047982222576207873446898283
calculate;3479;3915;509;0,83473664641083;3267,9939706984;1,125323368784133371658522564;0,1463064098878988215004311584;0,1646420220497625427347479118
calculation;3479;736;120;1,46227318269996;1076,23306246717;0,211555044553032480597872952;0,0344926703075596435757401552;0,0072970984036688409519243329
calibrate;3479;516;107;1,51207065106238;780,228455948188;0,1483184823225064673756826674;0,0307559643575740155217016384;0,0045616779558804806005168282
calibration;3479;2198;153;1,35676299792999;2982,16506945012;0,6317907444668008048289738431;0,0439781546421385455590686979;0,0277849910616328034316852538
candidate;3479;430;38;1,96167083213078;843,518457816235;0,1235987352687553894797355562;0,0109226789307272204656510492;0,0013500293015845659098102763
capacitor;3479;343;41;1,92867057202785;661,534006205554;0,0985915492957746478873239437;0,011784995688416211555044553;0,0011619009833649786040184771
capsule;3479;321;13;2,42751107644075;779,231055537481;0,0922678930727220465651049152;0,0037367059499856280540385168;0,0003447779850374781849227835
capture;3479;11569;1178;0,470309138296506;5441,00642095228;3,3253808565679793043978154642;0,3386030468525438344351825237;1,1259840899790398449498783032
card;3479;324;41;1,92867057202785;624,889265337025;0,0931302098304110376544984191;0,011784995688416211555044553;0,0010975391213126911594810104
carriage;3479;104;9;2,58721191930826;269,070039608059;0,0298936475998850244323081345;0,0025869502730669732681805116;0,000077333379821490434001372
carrier;3479;641;66;1,72191049320572;1103,74462614487;0,1842483472262144294337453291;0,0189709686691578039666570854;0,0034953696225726221163056027
carry;3479;715;171;1,30845831835544;935,547697624136;0,2055188272492095429721184248;0,0491520551882724920954297212;0,0101016727391821879414292184
case;3479;1543;200;1,24042443308361;1913,97490024801;0,4435182523713710836447254958;0,0574877838459327392929002587;0,0254968814240512264239566252
casing;3479;338;32;2,03630445042768;688,270904244557;0,0971543546996263294050014372;0,0091980454153492382868640414;0,0008936301668261116817936321
cavity;3479;678;100;1,54145442874759;1045,10610269087;0,194883587237711986202931877;0,0287438919229663696464501293;0,0056017127691207814372788697
cell;3479;855;74;1,67222270901661;1429,7504162092;0,2457602759413624604771486059;0,0212704800229951135383730957;0,0052274390398565168368235116
cement;3479;253;33;2,0229404888697;511,803943684034;0,0727220465651049152055188272;0,0094854843345789019833285427;0,0006898038334718201212365971
center;3479;2141;434;0,903964699235078;1935,3884210623;0,6154067260707099741304972693;0,1247484909456740442655935614;0,0767710603951388700122551926
chain;3479;48;11;2,50006174358936;120,002963692289;0,0137970681230238574302960621;0,0031618281115263006611095142;0,0000436239578480202448212868
chamber;3479;337;35;1,99738638439731;673,119211541895;0,0968669157803966657085369359;0,0100603621730382293762575453;0,000974516255335982552399768
change;3479;3238;604;0,760417490126457;2462,23183302947;0,9307272204656510491520551883;0,1736131072147168726645587813;0,1615864447143585035032599407
changing;3479;937;256;1,13321446343574;1061,82195223929;0,269330267318194883587237712;0,0735843633227939062949123311;0,0198184962441672578897191303
channel;3479;1349;153;1,35676299792999;1830,27328420756;0,3877551020408163265306122449;0,0439781546421385455590686979;0,0170527538408292319514756176
character;3479;510;36;1,9851519279803;1012,42748326995;0,1465938488071284851968956597;0,0103478010922678930727220466;0,0015169239888061585131038355
characteristic;3479;1582;212;1,21511856781884;1922,3175742894;0,4547283702213279678068410463;0,0609370508766887036504742742;0,0277098058312507988430728088
characterize;3479;369;72;1,68412193231632;621,440993024722;0,1060649611957459039954009773;0,0206956021845357861454440931;0,0021950782426253823189620208
charge;3479;1894;202;1,23610305930096;2341,17919431603;0,5444093130209830411037654498;0,0580626616843920666858292613;0,031609853759769639063800121
chassis;3479;334;28;2,09429639740537;699,494996733393;0,096004599022707674619143432;0,0080482897384305835010060362;0,0007726728291566010029709733
chip;3479;946;106;1,51614856348282;1434,27654105475;0,2719172175912618568554182236;0,0304685254383443518252371371;0,0082849166613031781623093796
circle;3479;138;47;1,86935657081187;257,971206772038;0,0396665708536935901121011785;0,0135096292037941937338315608;0,0005358806640194305074069432
circuit;3479;5450;542;0,807455142209202;4400,63052504015;1,5665421098016671457315320494;0,1557918942224777234837597011;0,2440545626652784113212102244
circuitry;3479;755;102;1,53285425698567;1157,30496402418;0,2170163840183960908306984766;0,0293187697614256970393791319;0,0063626533974924982077410878
circular;3479;478;113;1,48837598526417;711,443720956273;0,1373958033917792469100316183;0,0324805978729519977004886462;0,0044626978393995558783654995
circumferential;3479;569;76;1,6606408364668;944,904635949608;0,163552745041678643288301236;0,0218453578614544409313020983;0,0035728682446586883845676614
clamp;3479;629;67;1,71537962604676;1078,97378478341;0,1807990801954584650761713136;0,0192584075883874676631215867;0,0034819023780096916240596373
classify;3479;159;34;2,00997551170533;319,586106361148;0,0457027881575165277378557057;0,009772923253808565679793044;0,0004466498411484800066361293
